ruta ip dominio
paginas\google.html 192.168.1.1 www.google.com
paginas\youtube.html 192.168.1.2 www.youtube.com
paginas\facebook.html 192.168.1.3 www.facebook.com
paginas\twitter.html 192.168.1.4 www.twitter.com
paginas\github.html 192.168.1.5 www.github.com
paginas\micaca.html 192.168.1.6 www.micaca.com
paginas\wikipedia.html 192.168.1.7 www.wikipedia.org
paginas\amazon.html 192.168.1.8 www.amazon.com
paginas\netflix.html 192.168.1.9 www.netflix.com
paginas\linkedin.html 192.168.1.10 www.linkedin.com
